анітрохи, а-ні-тро-хи, тр
бистролетний, би-стро-лет-ний, стр
богосвітлий, бо-го-світ-лий, св
ви-на-хід-ник, ви-на-хід-ник, дн
вогнем, вог-нем, гн
володарка, во-ло-дар-ка, рк
гіллястих, гіл-ля-стих, лл
господа, го-спо-да, сп
гучно, гуч-но, чн
дальносяжний, даль-но-сяж-ний, льн
доведеться, до-ве-деть-ся, ться
доплили, до-пли-ли, до-
їздив, йіз-див, зд
крісло, крі-сло, сл
ледве, лед-ве, дв
матінко, ма-тін-ко, нк
назбирайте, на-зби-рай-те, зб
недосвідченим, не-до-свід-че-ним, св starts roots?
найгрізніший, най-гріз-ні-ший, зн
озирнувся, о-зир-нув-ся, вс
вій-сько, вій-сько, ськ
опуклим, о-пук-лим, кл
особливо, о-соб-ли-во, бл
охоплена, о-хоп-ле-на, пл
пагубний, па-губ-ний, бн
пасмо, па-смо, см
повезли, по-вез-ли, зл
повернутись, по-вер-ну-тись, рн
порушення, по-ру-шен-ня, нн
прекрасними, пре-крас-ни-ми, сн
премудрий, пре-муд-рий, др
прийнявши, при-йняв-ши, вш
прислужники, при-служ-ни-ки, жн
скривдив, скрив-див, вд
солодкомовний, со-лод-ко-мов-ний, дк
сповнитись, спов-ни-тись, вн
страшні, страш-ні, шн
супроводив, су-про-во-див, пр
темного, тем-но-го, мн
укріпили, у-крі-пи-ли, кр
уласкавити, у-лас-ка-ви-ти, ск
хоробрих, хо-роб-рих, бр
четверта, чет-вер-та, рт
шоста, шо-ста, ст
являєш, йав-ля-йеш, вл